year,month,MEI_v2,MEI_3m_rolling
2010,1,0.93,0.9733333333333336
2010,2,1.28,1.0533333333333335
2010,3,1.33,1.1800000000000004
2010,4,0.49,1.0333333333333334
2010,5,-0.12,0.5666666666666669
2010,6,-1.29,-0.3066666666666665
2010,7,-2.42,-1.2766666666666664
2010,8,-2.38,-2.03
2010,9,-2.26,-2.353333333333333
2010,10,-2.16,-2.266666666666666
2010,11,-2.01,-2.143333333333333
2010,12,-1.85,-2.0066666666666664
2011,1,-1.77,-1.8766666666666663
2011,2,-1.59,-1.7366666666666664
2011,3,-1.75,-1.7033333333333331
2011,4,-1.69,-1.6766666666666665
2011,5,-1.24,-1.5599999999999998
2011,6,-1.03,-1.3199999999999996
2011,7,-0.75,-1.0066666666666662
2011,8,-0.81,-0.863333333333333
2011,9,-1.08,-0.8799999999999998
2011,10,-1.3,-1.0633333333333332
2011,11,-1.14,-1.1733333333333331
2011,12,-1.18,-1.2066666666666663
2012,1,-1.07,-1.1299999999999997
2012,2,-0.68,-0.9766666666666665
2012,3,-0.59,-0.7799999999999997
2012,4,-0.38,-0.5499999999999997
2012,5,-0.32,-0.4299999999999997
2012,6,-0.28,-0.3266666666666664
2012,7,0.34,-0.08666666666666638
2012,8,-0.02,0.013333333333333627
2012,9,-0.29,0.010000000000000306
2012,10,-0.19,-0.16666666666666638
2012,11,-0.03,-0.1699999999999997
2012,12,-0.03,-0.08333333333333304
2013,1,-0.06,-0.0399999999999997
2013,2,-0.08,-0.056666666666666365
2013,3,-0.13,-0.0899999999999997
2013,4,-0.35,-0.1866666666666664
2013,5,-0.68,-0.3866666666666663
2013,6,-1.14,-0.723333333333333
2013,7,-0.79,-0.8699999999999997
2013,8,-0.45,-0.793333333333333
2013,9,-0.33,-0.5233333333333331
2013,10,-0.13,-0.30333333333333307
2013,11,-0.16,-0.20666666666666636
2013,12,-0.33,-0.20666666666666642
2014,1,-0.5,-0.3299999999999997
2014,2,-0.42,-0.41666666666666635
2014,3,-0.05,-0.3233333333333331
2014,4,-0.17,-0.21333333333333307
2014,5,-0.17,-0.12999999999999975
2014,6,0.0,-0.11333333333333306
2014,7,0.41,0.08000000000000025
2014,8,0.23,0.2133333333333336
2014,9,-0.1,0.18000000000000027
2014,10,0.11,0.08000000000000025
2014,11,0.37,0.12666666666666693
2014,12,0.35,0.2766666666666669
2015,1,0.23,0.31666666666666693
2015,2,0.06,0.2133333333333336
2015,3,0.15,0.14666666666666692
2015,4,0.31,0.1733333333333336
2015,5,0.95,0.47000000000000025
2015,6,1.9,1.0533333333333337
2015,7,1.79,1.5466666666666669
2015,8,1.95,1.8800000000000001
2015,9,2.24,1.9933333333333338
2015,10,2.15,2.1133333333333337
2015,11,1.93,2.106666666666667
2015,12,1.93,2.0033333333333334
2016,1,1.93,1.93
2016,2,1.8,1.886666666666667
2016,3,1.32,1.6833333333333336
2016,4,1.32,1.4800000000000004
2016,5,1.24,1.2933333333333337
2016,6,0.35,0.9700000000000002
2016,7,-0.54,0.35000000000000026
2016,8,-0.26,-0.14999999999999972
2016,9,-0.29,-0.36333333333333306
2016,10,-0.53,-0.3599999999999997
2016,11,-0.47,-0.4299999999999997
2016,12,-0.37,-0.4566666666666664
2017,1,-0.42,-0.4199999999999997
2017,2,-0.41,-0.3999999999999997
2017,3,-0.58,-0.4699999999999997
2017,4,-0.19,-0.39333333333333304
2017,5,0.2,-0.1899999999999997
2017,6,-0.23,-0.07333333333333304
2017,7,-0.63,-0.21999999999999972
2017,8,-0.72,-0.5266666666666664
2017,9,-0.73,-0.693333333333333
